NodeID,Coordinates
1,"(33.068239,-96.451575)"
2,"(33.068239,-96.451575)"
3,"(33.001275,-96.750237)"
4,"(33.011488,-96.779315)"
5,"(33.011488,-96.779315)"
6,"(33.292211,-96.399041)"
7,"(33.021815,-96.715684)"
8,"(33.159888,-96.752359)"
9,"(33.011488,-96.779315)"
10,"(32.456352,-102.500041)"
11,"(32.339605,-102.758172)"
12,"(32.487018,-102.59186)"
13,"(32.451739,-102.677536)"
14,"(32.209422,-102.229015)"
15,"(32.451739,-102.677536)"
16,"(32.321965,-102.475946)"
17,"(32.194396,-102.44366)"
18,"(29.46035,-95.25785)"
19,"(29.166952,-95.440295)"
20,"(29.071312,-95.747065)"
21,"(29.072107,-95.743909)"
22,"(29.43312,-95.249145)"
23,"(28.986313,-95.358164)"
24,"(29.554054,-95.257452)"
25,"(29.449468,-98.640058)"
26,"(29.363366,-98.495895)"
27,"(29.432953,-98.479501)"
28,"(29.432953,-98.479501)"
29,"(29.381924,-98.318534)"
30,"(29.358642,-98.409243)"
